sku,sort_order,category_path
34B600,1,home
34B600,2,home/collections/34-collection
34B600,3,home/scented-candles
34B600,4,home/scented-candles/colored-scented-candles
34B1500V1,1,home
34B1500V1,2,home/collections/34-collection
34B1500V1,3,home/diffusers
34B1500V1,4,home/gift-ideas-home
34B1500V1,5,home/scented-candles/extra-large-scented-candles
34B300V1,1,home
34B300V1,2,home/collections/34-collection
34B300V1,3,home/scented-candles
34B300V1,4,home/scented-candles/medium-scented-candles
34BEDP75V1,1,fragrances/collections/34-boulevard-saint-germain
34BEDP75V1,2,fragrances/eaux-de-parfum
34BEDP75V1,3,fragrances/tous-les-parfums
REFREED34BV1,1,home
REFREED34BV1,2,home/collections/34-collection
REFREED34BV1,3,home/diffusers
REFREED34BV1,4,home/diffusers/home-fragrance-diffusers
REFREED34BV1,5,home/diffusers/inserts
CAPS34V1,1,home
CAPS34V1,2,home/collections/34-collection
CAPS34V1,3,home/diffusers
CAPS34V1,4,home/diffusers/diffuseurs-electriques
CAPS34V1,5,home/diffusers/inserts
V34BV2,1,home
V34BV2,2,home/collections/34-collection
V34BV2,3,home/diffusers
V34BV2,4,home/room-sprays
34BEDT100V1,1,fragrances
34BEDT100V1,2,fragrances/collections/34-boulevard-saint-germain
34BEDT100V1,3,fragrances/eaux-de-toilette
34BEDT100V1,4,fragrances/tous-les-parfums
DECO01069,1,decoration
DECO01069,2,decoration/candle-holders
DECO01069,3,decoration/candles-and-accessories
DECO01069,4,decoration/gift-ideas-deco
DECO01069,5,decoration/objects
DECO01069,6,decoration/see-all
DECO01069,7,home/accessories
ABA3,1,home
ABA3,2,home/collections/ambre
ABA3,3,home/scented-candles
ABA3,4,home/scented-candles/medium-scented-candles
AB1,1,home
AB1,2,home/best-sellers-home
AB1,3,home/collections/ambre
AB1,4,home/scented-candles
AB1,5,home/scented-candles/classic-scented-candles
AMB1500,1,home/scented-candles/extra-large-scented-candles
VAB,1,home
VAB,2,home/collections/ambre
VAB,3,home/diffusers
VAB,4,home/room-sprays
TAPCDLAB,1,home/scented-candles
TAPCDLAB,2,home/scented-candles/stands-scented-candles
TAPCDLAB,3,new-and-trending
AB70V,1,home
AB70V,2,home/collections/ambre
AB70V,3,home/scented-candles
AB70V,4,home/scented-candles/small-scented-candles
CAPSAB,1,home
CAPSAB,2,home/collections/ambre
CAPSAB,3,home/diffusers
CAPSAB,4,home/diffusers/diffuseurs-electriques
CAPSAB,5,home/diffusers/inserts
B1500,1,home
B1500,2,home/collections/baies
B1500,3,home/diffusers
B1500,4,home/gift-ideas-home
B1500,5,home/scented-candles/extra-large-scented-candles
REFREEDB,1,home
REFREEDB,2,home/collections/baies
REFREEDB,3,home/diffusers
REFREEDB,4,home/diffusers/home-fragrance-diffusers
REFREEDB,5,home/diffusers/inserts
HGBCARB3,1,home/collections/baies
HGBCARB3,2,home/diffusers
HGBCARB3,3,home/diffusers/hourglass-diffuser
CAPSB,1,home
CAPSB,2,home/best-sellers-home
CAPSB,3,home/collections/baies
CAPSB,4,home/diffusers
