sku,relation_type,sort_order,related_text
34B600,pairing,1,圣日尔曼大道34号扩香精 CNY 1620 [HG34BCARB3]
34B600,pairing,2,圣日尔曼大道34号室内香氛蜡 CNY 580 [P34BV1]
34B600,cross_sell,1,金色烛芯修剪器 CNY 430 [PWT]
34B600,cross_sell,2,竖纹玻璃烛罩 CNY 4200 [DECO00722]
34B600,upgrade,1,圣日尔曼大道34号扩香精 CNY 1620 [HG34BCARB3]
34B600,upgrade,2,圣日尔曼大道34号室内香氛蜡 CNY 580 [P34BV1]
34B600,upgrade,3,圣日尔曼大道34号室内喷雾 CNY 660 [V34BV2]
34B600,upgrade,4,超大号香氛蜡烛-圣日尔曼大道34号 CNY 3400 [34B1500V1]
34B600,upgrade,5,圣日尔曼大道34号车载扩香器香氛套装 CNY 1040 [CARDIF34BV1]
34B600,upgrade,6,圣日尔曼大道34号扩香精补充瓶 CNY 500 [HG34BRCARB3]
34B600,upgrade,7,圣日尔曼大道34号扩香器香氛补充包 CNY 450 [CAPS34V1]
34B1500V1,pairing,1,黑色金字塔陶瓷烛盖 CNY 1200 [DECO01388]
34B1500V1,pairing,2,超大号香氛蜡烛-炭木香 CNY 3400 [FB15001]
34B1500V1,cross_sell,1,金色烛芯修剪器 CNY 430 [PWT]
34B1500V1,cross_sell,2,黑色金字塔陶瓷烛盖 CNY 1200 [DECO01388]
34B1500V1,upgrade,1,圣日尔曼大道34号扩香精 CNY 1620 [HG34BCARB3]
34B1500V1,upgrade,2,圣日尔曼大道34号室内香氛蜡 CNY 580 [P34BV1]
34B1500V1,upgrade,3,大号香氛蜡烛-圣日尔曼大道34号 CNY 1800 [34B600]
34B1500V1,upgrade,4,圣日尔曼大道34号室内喷雾 CNY 660 [V34BV2]
34B1500V1,upgrade,5,圣日尔曼大道34号车载扩香器香氛套装 CNY 1040 [CARDIF34BV1]
34B1500V1,upgrade,6,圣日尔曼大道34号扩香精补充瓶 CNY 500 [HG34BRCARB3]
34B1500V1,upgrade,7,圣日尔曼大道34号扩香器香氛补充包 CNY 450 [CAPS34V1]
34B300V1,pairing,1,大号香氛蜡烛-玫瑰 CNY 1800 [RO600]
34B300V1,pairing,2,中号香氛蜡烛-浆果香 CNY 920 [BN3]
34B300V1,related,1,香氛蜡烛-玫瑰 CNY 630 [RO3]
34B300V1,related,2,香氛蜡烛-浆果香 CNY 630 [B2]
34B300V1,related,3,香氛蜡烛-无花果 CNY 630 [FI2]
34B300V1,related,4,香氛蜡烛-琥珀 CNY 630 [AB1]
34B300V1,related,5,香氛蜡烛-茶树 CNY 630 [T3]
34B300V1,related,6,香氛蜡烛-薄荷 CNY 630 [MV2]
34B300V1,related,7,香氛蜡烛-小苍兰 CNY 630 [FR3]
34B300V1,related,8,香氛蜡烛-含羞草 CNY 630 [MI3]
34B300V1,related,9,中号香氛蜡烛-晚香玉 CNY 920 [TBR3]
34B300V1,related,10,中号香氛蜡烛-浆果香 CNY 920 [BN3]
34B300V1,related,11,中号香氛蜡烛-琥珀 CNY 920 [ABA3]
34B300V1,related,12,中号香氛蜡烛-无花果 CNY 920 [FIV3]
34B300V1,related,13,中号香氛蜡烛-炭木香 CNY 920 [FBG3]
34B300V1,cross_sell,1,金色烛芯修剪器 CNY 430 [PWT]
34B300V1,cross_sell,2,竖纹玻璃烛罩 CNY 4200 [DECO00722]
34B300V1,upgrade,1,圣日尔曼大道34号扩香精 CNY 1620 [HG34BCARB3]
34B300V1,upgrade,2,圣日尔曼大道34号室内香氛蜡 CNY 580 [P34BV1]
34B300V1,upgrade,3,大号香氛蜡烛-圣日尔曼大道34号 CNY 1800 [34B600]
34B300V1,upgrade,4,圣日尔曼大道34号室内喷雾 CNY 660 [V34BV2]
34B300V1,upgrade,5,超大号香氛蜡烛-圣日尔曼大道34号 CNY 3400 [34B1500V1]
34B300V1,upgrade,6,圣日尔曼大道34号车载扩香器香氛套装 CNY 1040 [CARDIF34BV1]
34B300V1,upgrade,7,圣日尔曼大道34号扩香精补充瓶 CNY 500 [HG34BRCARB3]
34B300V1,upgrade,8,圣日尔曼大道34号扩香器香氛补充包 CNY 450 [CAPS34V1]
34BEDP75V1,pairing,1,圣日尔曼大道34号淡香水 CNY 1500 [34BEDT100V1]
34BEDP75V1,pairing,2,圣日尔曼大道34号室内香氛蜡 CNY 580 [P34BV1]
34BEDP75V1,related,1,肌肤之花淡香精 CNY 1650 [FLEURP75CV1]
34BEDP75V1,related,2,希腊无花果香调淡香精 CNY 1650 [PHILOP75CV1]
34BEDP75V1,related,3,杜耶尔淡香精 CNY 1650 [DUELLEP75CV1]
34BEDP75V1,related,4,旅行之水淡香精 CNY 2390 [MEASTP75C]
34BEDP75V1,related,5,帕劳乌木香调淡香精 CNY 1650 [OUDP75CV1]
34BEDP75V1,related,6,杜桑淡香精 CNY 1650 [DOSONP75CV1]
34BEDP75V1,related,7,玫瑰香调淡香精 CNY 1650 [ROSEP75C]
34BEDP75V1,related,8,奥费恩淡香精 CNY 1650 [ORPHP75C]
34BEDP75V1,related,9,谭道淡香精 CNY 1650 [TAMDAOP75CV1]
34BEDP75V1,cross_sell,1,圣日尔曼大道34号 - 香氛皂 CNY 370 [S34BV1]
